datetime,cityname,so2value,covalue,o3value,no2value,pm10value,pm25value
2021-03-15 15:00,강남구,0.003,0.6,0.053,0.026,84,68
2021-03-15 15:00,강동구,0.003,0.5,0.003,0.020,97,69
2021-03-15 15:00,강북구,0.003,0.6,0.051,0.020,104,72
2021-03-15 15:00,강서구,0.003,0.6,0.074,0.019,96,71
2021-03-15 15:00,관악구,0.003,0.6,0.055,0.023,71,51
2021-03-15 15:00,광진구,0.003,0.5,0.051,0.021,82,65
2021-03-15 15:00,구로구,0.003,0.4,0.061,0.018,94,68
2021-03-15 15:00,금천구,0.003,0.6,0.062,0.019,95,71
2021-03-15 15:00,노원구,0.003,0.6,0.047,0.028,94,63
2021-03-15 15:00,도봉구,0.003,0.5,0.056,0.021,83,69
2021-03-15 15:00,동대문구,-,-,-,-,79,50
2021-03-15 15:00,동작구,0.003,0.5,0.057,0.020,80,62
2021-03-15 15:00,마포구,0.003,0.6,0.052,0.026,83,68
2021-03-15 15:00,서대문구,0.004,0.6,0.057,0.022,86,74
2021-03-15 15:00,서초구,0.003,0.5,0.039,0.041,101,79
2021-03-15 15:00,성동구,0.004,0.6,0.061,0.040,91,69
2021-03-15 15:00,성북구,0.003,0.7,0.041,0.033,101,59
2021-03-15 15:00,송파구,0.004,0.6,0.059,0.027,84,62
2021-03-15 15:00,양천구,0.003,0.6,0.060,0.019,95,72
2021-03-15 15:00,영등포구,0.003,0.7,0.054,0.023,89,75
2021-03-15 15:00,용산구,0.004,0.5,0.045,0.023,82,67
2021-03-15 15:00,은평구,0.003,0.6,0.065,0.020,96,74
2021-03-15 15:00,종로구,0.004,0.6,0.056,0.023,95,67
2021-03-15 15:00,중구,0.003,0.6,0.052,0.027,106,60
2021-03-15 15:00,중랑구,0.003,0.6,0.047,0.025,94,63
